번호,키워드,카테고리,예상검색량,콘텐츠유형,수익화연결,posted,slug,posted_at
38,태국 안전한가요 치안 정보,태국생활,1500,grammar_vocab,,,,
39,태국 인터넷 속도 와이파이,태국생활,800,health_culture,,,,
40,태국 한국 택배 보내는 법,태국생활,600,how_to_start,,,,
41,태국 병원 이용 방법,의료·건강,2000,health_culture,,,,
42,태국 병원비 얼마나,의료·건강,1500,grammar_vocab,,,,
43,태국 의료보험 가입 방법,의료·건강,1200,how_to_start,,,,
44,방콕 한국어 되는 병원,의료·건강,1000,compare_review,,,,
45,태국 치과 비용 저렴한가요,의료·건강,900,compare_review,,,,
46,태국 약국 이용하는 법,의료·건강,700,how_to_start,,,,
47,태국 건강검진 받는 법,의료·건강,600,how_to_start,,,,
48,태국 코로나 의료 시스템,의료·건강,500,grammar_vocab,,,,
49,태국 음식 먹을 때 주의사항,의료·건강,800,health_culture,,,,
50,태국 한의원 있나요,의료·건강,400,grammar_vocab,,,,
51,태국 음식 문화 완벽 정리,주거·음식,2500,health_culture,,,,
52,태국 음식 매운 정도,주거·음식,1500,health_culture,,,,
53,방콕 한식당 추천,주거·음식,1800,compare_review,,,,
54,태국 길거리 음식 주의사항,주거·음식,1200,health_culture,,,,
55,태국 음식 이름 정리,주거·음식,1000,grammar_vocab,,,,
56,치앙마이 맛집 추천,주거·음식,1500,compare_review,,,,
57,파타야 맛집 한국인 추천,주거·음식,1000,compare_review,,,,
58,태국 편의점 꼭 사야 할 것,주거·음식,900,compare_review,,,,
59,태국 슈퍼마켓 한국 식재료,주거·음식,700,health_culture,,,,
60,태국 배달앱 사용법,주거·음식,600,how_to_start,,,,
61,태국어 성조 배우는 방법,태국어공부,2500,how_to_start,,,,
62,태국어 독학 방법 추천,태국어공부,2000,how_to_start,,,,
63,태국어 얼마나 걸리나요,태국어공부,1800,compare_review,,,,
64,태국어 앱 추천 비교,태국어공부,1500,compare_review,,,,
65,태국어 기초 단어 100개,태국어공부,2000,compare_review,,,,
66,태국어 여행 필수 회화 50가지,태국어공부,2200,compare_review,,,,
67,태국어 인사말 총정리,태국어공부,1800,grammar_vocab,,,,
68,태국어 기초 문법 정리,태국어공부,1500,how_to_start,,,,
69,태국어 발음 어려운 이유,발음·문법,800,grammar_vocab,,,,
70,태국어 5성조 구별법,발음·문법,600,pronunciation_study,,,,
71,태국어 자음 발음 총정리,발음·문법,500,pronunciation_study,,,,
72,태국어 문장 구조 이해하기,발음·문법,900,grammar_vocab,,,,
73,태국어 khrap kha 차이점,발음·문법,800,grammar_vocab,,,,
74,태국어 숫자 읽는 법,발음·문법,700,how_to_start,,,,
75,태국어 시제 없는 언어인가요,발음·문법,600,grammar_vocab,,,,
76,태국어 부정문 만드는 법,발음·문법,500,grammar_vocab,,,,
77,태국어 유튜브 채널 추천,태국어공부,1500,compare_review,,,,
78,태국어 교재 추천 순위,태국어공부,1200,compare_review,,,,
79,태국어 학원 vs 독학 비교,태국어공부,900,compare_review,,,,
80,태국어 하루 30분 공부법,태국어공부,800,how_to_start,,,,
81,태국어 말하기 연습 방법,태국어공부,800,how_to_start,,,,
82,태국어 글자 배우기 쉬운가요,발음·문법,700,grammar_vocab,,,,
83,태국어 성조가 왜 중요한가요,발음·문법,400,grammar_vocab,,,,
84,태국어 감사합니다 표현,태국어공부,1500,grammar_vocab,,,,
85,태국어 식당에서 주문하기,태국어공부,1000,how_to_start,,,,
86,태국어 쇼핑 흥정 표현,태국어공부,800,how_to_start,,,,
87,태국어 자기소개 방법,태국어공부,900,how_to_start,,,,
88,태국어 택시 탈 때 쓰는 말,태국어공부,700,how_to_start,,,,
89,태국 쏭끄란 축제란,태국생활,1500,grammar_vocab,,,,
90,태국 와이 인사 의미와 방법,태국생활,800,grammar_vocab,,,,
91,태국 불교 문화 이해하기,태국생활,700,health_culture,,,,
92,태국 왕실 예절 주의사항,태국생활,600,health_culture,,,,
93,태국 SNS 줄임말 모음,태국생활,400,grammar_vocab,,,,
94,태국 격식체 일상체 차이,태국생활,450,grammar_vocab,,,,
95,방콕 이사 비용 얼마나,태국생활,500,compare_review,,,,
96,태국 한국인 커뮤니티,태국생활,600,compare_review,,,,
97,태국 이민 필요 자금,태국생활,800,compare_review,,,,
98,태국 세금 환급 받는 법,창업·법인,500,how_to_start,,,,
99,태국 주식시장 투자 방법,투자·부동산,700,how_to_start,,,,
100,태국 부동산 수익률 분석,투자·부동산,600,compare_review,,,,
